date,plane_type,country,airline,fat,px,phase,cause
1995-12-20,Boeing 757-223,Colombia,American Airlines,159,73,approach,crew error
1996-01-08,Antonov An-32B,DR Congo (then Zaire),Moscow Airways,237,87,initial_climb,overload
1996-02-06,Boeing 757-225,Dominican Republic,Birgenair,189,79,en_route,pilot error
1996-02-12,GAF Nomad N.24A,Haiti,Haiti Express Airways,10,26,initial_climb,mechanical failure
1996-02-29,Boeing 737-222,Peru,Faucett,123,65,approach,pilot error
1996-03-02,Learjet 25D,Brazil,Madrid Táxi Aéreo,9,25,approach,pilot & crew error
1996-04-05,Dornier 228-212,Taiwan,Formosa Airlines,6,22,approach,pilot & crew error
1996-05-03,Antonov 24RV,Sudan,Federal Airlines,53,46,landing,sandstorm
1996-05-10,DHC-6 Twin Otter 200,Mexico,Aeroservicios Emp. de Durango,16,30,approach,bad weather
1996-05-11,McDonnell Douglas DC-9,USA,ValuJet,110,62,en_route,cargo fire
1996-06-13,McDonnell Douglas DC-10-30,Japan,Garuda Indonesia,3,19,takeoff,pilot error
1996-06-21,Harbin Yunshuji Y-12-II,China,China Flying Dragon,2,17,approach,pilot & crew error
1996-07-06,McDonnell Douglas MD-88,USA,Delta Air Lines,2,17,takeoff,maintenance error
1996-07-11,Let L-410UVP-E9D,India,Archana Airways,9,25,approach,pilot & company error
1996-07-17,Boeing 747-131,USA,Trans World Airlines,230,86,en_route,fuel tank explosion
1996-07-24,Fokker F-27 Friendship 600,Myanmar,Myanma Airways,8,24,landing,bad weather
1996-08-29,Tupolev Tu-154M,Norway,Vnukovo Airlines,141,69,approach,pilot & crew error
1996-09-18,Fairchild C-123K Provider,Mexico,Krissalan de Aviacion,5,21,takeoff,unknown
1996-10-02,Boeing 757-23A,Pacific Ocean,Aeroperú,70,52,en_route,maintenance error
1996-10-26,Yakovlev 40K,Russia,Tyumenaviatrans,5,21,landing,pilot error
1996-10-31,Fokker F28 Mk 0100,Brazil,TAM Transportes Aéreos Regionais,103,61,initial_climb,engine failure
1996-11-01,Embraer 110P1 Bandeirante,Guatemala,TAPSA,14,29,approach,low visibility
1996-11-07,Boeing 727-231,Nigeria,ADC Airlines,144,70,approach,pilot & atc error
1996-11-12,Ilyushin 76TD,India,Kazakhstan Airlines,37,40,en_route,"pilot error, mid air collision"
