rank,title,author,year
204,The Recognition of Sakuntala,Kalidasa,-200
205,If on a Winter's Night a Traveller,Italo Calvino,1979
206,Dune,Frank Herbert,1965
207,Through the Looking Glass,Lewis Carroll,1871
208,The Misanthrope,Molière,1673
209,The Birds,Aristophanes,-414
210,Rubaiyat of Omar Khayyam,Edward FitzGerald,1859
211,The Corrections,Jonathan Franzen,2001
212,Collected Poems,Wallace Stevens,1955
213,The Red Badge of Courage,Stephen Crane,1895
214,Henderson The Rain King,Saul Bellow,1959
215,The Good Soldier Svejk,Jaroslav Hašek,1923
216,Love in the Time of Cholera,Gabriel Garcia Marquez,1985
217,The Call of the Wild,Jack London,1903
218,The Prelude,William Wordsworth,1850
219,A Room With a View,E.M. Forster,1908
220,The Heart Is A Lonely Hunter,Carson McCullers,1940
221,Atonement,Ian McEwan,2002
222,The Three Musketeers,Alexandre Dumas,1844
223,A Confederacy of Dunces,John Kennedy Toole,1980
224,A Midsummer Night's Dream,William Shakespeare,1596
225,A Tale of Two Cities,Charles Dickens,1859
226,Little Dorrit,Charles Dickens,1857
227,The Master Builder,Henrik Ibsen,1892
228,Uncle Vanya,Anton Chekhov,1899
229,The Wild Duck,Henrik Ibsen,1885
230,Saint Joan,George Bernard Shaw,1923
231,Zorba the Greek,Nikos Kazantzakis,1946
232,Dubliners,James Joyce,1914
233,Pedro Paramo,Juan Rulfo,1955
234,The Adventures of Oliver Twist,Charles Dickens,1837
235,Trojan Women,Euripides,-415
236,Beowulf,Unknown,900
237,The Leopard,Giuseppe Tomasi di Lampedusa,1958
238,The House of the Spirits,Isabel Allende,1982
239,"The Lion, The Witch and the Wardrobe ",C.S. Lewis,1950
240,The Maltese Falcon,Dashiell Hammett,1930
241,The Remains of the Day,Kazuo Ishiguro,1989
242,Fahrenheit 451,Ray Bradbury,1953
243,Finnegans Wake,James Joyce,1939
244,The Would-Be Invalid,Molière,1673
245,The Miser,Molière,1668
246,The School for Wives,Molière,1662
247,Don Juan,Molière,1821
248,The Critique of the School for Wives,Molière,1662
249,The Would-Be Gentleman,Molière,1670
250,White Teeth,Zadie Smith,2000
251,"I, Claudius ",Robert Graves,1934
252,Humboldt's Gift,Saul Bellow,1975
253,Memoirs of Hadrian,Marguerite Yourcenar,1951
254,Herzog,Saul Bellow,1964
255,Labyrinths,Jorge Luis Borges,1962
256,Jacques the Fatalist and His Master,Denis Diderot,1796
257,Journey to the West, Wu Cheng'en,1592
258,Molloy,Samuel Beckett,1951
259,The Counterfeiters,André Gide,1925
260,The Temple of the Golden Pavilion,Yukio Mishima,1956
261,Winnie the Pooh,A. A. Milne,1926
262,The Poems of John Keats,John Keats,1821
263,The Book of Disquiet,Fernando Pessoa,1982
264,Three Sisters,Anton Chekhov,1901
265,The Big Sleep,Raymond Chandler,1939
266,The Alchemist,Paulo Coelho,1988
267,The House of Mirth,Edith Wharton,1905
268,Malone Dies,Samuel Beckett,1951
269,Macbeth,William Shakespeare,1587
270,Uncle Tom's Cabin,Harriet Beecher Stowe,1852
271,Bérénice,Jean Racine,1670
272,Our Mutual Friend,Charles Dickens,1865
273,The Stories of John Cheever,John Cheever,1978
274,Wide Sargasso Sea,Jean Rhys,1966
275,Poems of W. H. Auden,W. H. Auden,1930
276,Siddhartha,Hermann Hesse,1922
277,Austerlitz,W. G. Sebald,2001
278,The Cherry Orchard,Anton Chekhov,1904
279,The Fountainhead,Ayn Rand,1943
280,The Clouds,Aristophanes,-423
281,Stories of Guy de Maupassant,Guy de Maupassant,1880
282,The Makioka Sisters,Tanizaki Jun’ichirō,1948
283,A House for Mr. Biswas,V.S. Naipaul,1961
284,The Unnamable,Samuel Beckett,1953
285,Romeo and Juliet,William Shakespeare,1597
286,Collected Poems of Dylan Thomas,Dylan Thomas,1952
287,Selected Stories of Lu Hsun,Xun Lu,1936
288,Pippi Longstocking,Astrid Lindgren,1945
289,History,Elsa Morante,1974
290,The Time Machine,H. G. Wells,1895
291,Lyrical Ballads,"William Wordsworth, Samuel Taylor Coleridge",1798
292,The Maias: Episodes from Romantic Life,Eça de Queirós,1888
293,Dream of the Red Chamber,Cao Xueqin,1791
294,The Man Who Loved Children,Christina Stead,1940
295,The World According to Garp,John Irving,1978
296,Oblomov,Ivan Goncharov,1859
297,Tender Is the Night,F. Scott Fitzgerald,1934
298,The Jungle,Upton Sinclair,1906
299,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
300,Moll Flanders,Daniel Defoe,1772
301,The Stand,Stephen King,1978
302,The Long Goodbye: A Novel,Raymond Chandler,
303,Collected Poems of T.S. Eliot,T.S. Eliot,1936
304,Bartleby the Scrivener,Herman Melville,1853
305,Hippolytus,Euripides,-428
306,The Wonderful Wizard of Oz,L. Frank Baum,1900
307,A Wrinkle In Time,Madeleine L'Engle,1962
308,Ethan Frome,Edith Wharton,1911
309,Krapp's Last Tape,Samuel Beckett,1958
310,The Things They Carried,Tim O'Brien,1990
311,The Way We Live Now,Anthony Trollope,1875
312,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000
313,Nausea,Jean-Paul Sartre,1938
314,Rabbit Is Rich,John Updike,1981
315,Rabbit at Rest,John Updike,1990
316,The Prime of Miss Jean Brodie,Muriel Spark,1961
317,The Road,Cormac McCarthy,2006
318,Of Human Bondage,W. Somerset Maugham,1915
319,Nine Stories,J.D. Salinger,1953
320,Clarissa,Samuel Richardson,1748
321,The Complete Poetry and Selected Prose of John Donne,John Donne,1631
322,Utopia,Thomas More,1516
323,Rabbit Redux, John Updike,1971
324,Atlas Shrugged,Ayn Rand,1957
325,The Poisonwood Bible,Barbara Kingsolver,1998
326,The Good Earth,Pearl S. Buck,1931
327,Nineteen Nineteen,John Dos Passos,1932
328,Song of Solomon,Toni Morrison,1977
329,A Tree Grows in Brooklyn,Betty Smith,1943
330,The Big Money,John Dos Passos,1936
331,The 42nd Parallel,John Dos Passos,1930
332,White Noise,Don DeLillo,1985
333,Arrowsmith,Sinclair Lewis,1925
334,Persuasion,Jane Austen,1818
335,My Name Is Aram,William Saroyan,1940
336,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007
337,Adolphe,Benjamin Constant,1816
338,The Custom of the Country,Edith Wharton,1913
339,The Naked Dead,Norman Mailer,1948
340,Never Let Me Go,Kazuo Ishiguro,2005
341,Infinite Jest,David Foster Wallace,1996
342,Lucky Jim,Kingsley Amis,1954
